科目名,キャンパス,担当者名,授業実施形態,教室,曜日時限,開講場所
総合政策学【学期前半】(GIGA/GG/GI),湘南藤沢,"加茂 具樹, ヴ， レ　タオ　チ, 川口 航史, 木原 盾, 渡辺 将人",対面授業（主として対面授業）,θ,月2,SFC
環境情報学【学期前半】(GIGA/GG/GI),湘南藤沢,"一ノ瀬 友博, 秋山 美紀, 荒川 和晴, 石川 初, 牛山 潤一, 大木 聖子, 大越 匡, 鈴木 治夫, バンミーター， ロドニー Ｄ．, 松川 昌平, 宮本 佳明, 和田 直樹",対面授業（主として対面授業）,κ23,木1,SFC
日本語インテンシブ３A,湘南藤沢,"伴野 崇生, 井野元 園花, 白頭 宏美",対面授業（主として対面授業）,"水1:λ24, 水2:λ24, 金1:λ14, 金2:λ14","水1,2/金1,2",SFC
地域と文化（欧州・ＣＩＳ）(GIGA/GG),湘南藤沢,マイヤー， アンドレアス,対面授業（主として対面授業）,ε22,金2,SFC
スポーツのデータサイエンス[DS2]【学期前半】,湘南藤沢,木下 倖一,対面授業（主として対面授業）,ι12,"水1,2",SFC
研究会Ｂ(1),湘南藤沢,伴野 崇生,対面授業（主として対面授業）,λ18,火5,SFC
パターンランゲージ(GIGA/GG/GI),湘南藤沢,井庭 崇,対面授業（主として対面授業）,τ12,木2,SFC
研究会Ｂ(1),湘南藤沢,巴山 竜来,対面授業（主として対面授業）,ι12,金3,SFC
研究会Ｂ(2),湘南藤沢,巴山 竜来,対面授業（主として対面授業）,ι12,金4,SFC
ＣＧと数学[DS2],湘南藤沢,巴山 竜来,対面授業（主として対面授業）,τ11,火4,SFC
農業環境論,湘南藤沢,"小島 希世子, 大津 愛梨",対面授業（主として対面授業）,Ω21,金3,SFC
スチューデントビルドキャンパス（ＳＢＣ）実践（出版）,湘南藤沢,"寺内 玲, 加藤 文俊",対面授業（主として対面授業）,ο22,月3,SFC
国際社会のデータサイエンス[DS2],湘南藤沢,中室 牧子,対面授業（主として対面授業）,ε17,火2,SFC
日本語インテンシブ１A,湘南藤沢,"西山 陽子, 富岡 花",対面授業（主として対面授業）,"水1:λ13, 水2:λ13, 金1:ο21, 金2:ο21","水1,2/金1,2",SFC
研究会Ｂ(1),湘南藤沢,サントーソ， ペトルス,対面授業（主として対面授業）,κ11,水4,SFC
プロジェクト英語Ｂ(Reading),湘南藤沢,オルファーズ， キース,対面授業（主として対面授業）,ε23,水3,SFC
研究会Ｂ(1),湘南藤沢,木原 盾,対面授業（主として対面授業）,λ17,火4,SFC
研究会Ｂ(2),湘南藤沢,木原 盾,対面授業（主として対面授業）,λ17,火5,SFC
プロジェクト英語Ａ(Oral Listening),湘南藤沢,ホン， トゥアン,対面授業（主として対面授業）,ι17,金3,SFC
知性と人生【学期前半】,湘南藤沢,清水 亮,対面授業（主として対面授業）,κ23,"金4,5",SFC
分子健康科学ワークショップ【学期前半】,湘南藤沢,渡辺 光博,対面授業（主として対面授業）,κ11,"木4,5",SFC;その他
研究会Ａ,湘南藤沢,藤田 元信,対面授業（主として対面授業）,ε11,"金4,5",SFC
研究会Ａ,湘南藤沢,山田 貴子,対面授業（主として対面授業）,ε21,"金2,3",SFC
情報基礎２,湘南藤沢,筒井 淳平,対面授業（主として対面授業）,ι18,"木4,5",SFC
研究会Ａ,湘南藤沢,島津 明人,対面授業（主として対面授業）,ο16,"金2,3",SFC
研究会Ａ,湘南藤沢,蟹江 憲史,対面授業（主として対面授業）,ε12,"木2,3",SFC;その他
微分・積分[DS1],湘南藤沢,萩野 達也,対面授業（主として対面授業）,ι23,火3,SFC
線形代数[DS1],湘南藤沢,星野 貴行,対面授業（主として対面授業）,Ω12,水3,SFC
研究会Ｂ(2),湘南藤沢,鄭 浩瀾,対面授業（主として対面授業）,λ23,金5,SFC;その他
研究会Ｂ(2),湘南藤沢,内山 映子,対面授業（主として対面授業）,ε11,火5,SFC
アナログ・デジタル電子回路基礎,湘南藤沢,高汐 一紀,対面授業（主として対面授業）,ο22,"金2,3",SFC
オブジェクト指向プログラミング基礎【学期後半】,湘南藤沢,中澤 仁,対面授業（主として対面授業）,ε12,"月3,4",SFC
政策立案論（実践）,湘南藤沢,"加茂 具樹, 多田 明弘, 福島 康仁, 松本 光弘",対面授業（主として対面授業）,τ11,火2,SFC
研究会Ａ,湘南藤沢,清水 たくみ,対面授業（主として対面授業）,κ22,"火4,5",SFC
研究会Ａ,湘南藤沢,和田 直樹,対面授業（主として対面授業）,κ21,"木3,4",SFC;その他
ソーシャルイノベーション,湘南藤沢,鈴木 寛,オンライン授業（主としてリアルタイム形式）,,木1,その他
研究会Ａ,湘南藤沢,清水 亮,対面授業（主として対面授業）,ﾃﾞｻﾞｲﾝｽﾀｼﾞｵ(DOCOMOﾊｳｽ),"木4,5",SFC;その他
生活者の社会参加【学期前半】,湘南藤沢,山田 貴子,対面授業（主として対面授業）,ο11,"木4,5",SFC
プロジェクト英語Ｂ(Oral Listening),湘南藤沢,サザーランド， サラ,対面授業（主として対面授業）,ι14,木2,SFC
プロジェクト英語ＢEB01(Oral Listening),湘南藤沢,オルファーズ， キース,対面授業（主として対面授業）,κ14,木3,SFC
プロジェクト英語Ｃ(Presentation)(GIGA/GG/GI),湘南藤沢,ハースト， チャールズ,対面授業（主として対面授業）,ι17,月2,SFC;その他
プロジェクト英語ＣEC02(Presentation)(GIGA/GG/GI),湘南藤沢,ベデロ， サイモン,対面授業（主として対面授業）,ι16,火1,SFC
プロジェクト英語ＣEC01(Presentation)(GIGA/GG/GI),湘南藤沢,ハースト， チャールズ,対面授業（主として対面授業）,ι17,月1,SFC;その他
プロジェクト英語Ｃ(Presentation)(GIGA/GG/GI),湘南藤沢,ハイ， キャメロン Ｉ．,対面授業（主として対面授業）,λ23,木2,SFC;その他
プロジェクト英語Ｃ(Translation)(GIGA/GG/GI),湘南藤沢,ワイマン， ウォルター,対面授業（主として対面授業）,ι13,木2,SFC
プロジェクト英語ＣEC02(Reading)(GIGA/GG/GI),湘南藤沢,ボンジー， アラーナ Ｒ．,対面授業（主として対面授業）,κ22,金1,SFC;その他
ライティング技法ワークショップ,湘南藤沢,斎藤 俊則,対面授業（主として対面授業）,κ11,火3,SFC
科学ライティングワークショップ,湘南藤沢,塚崎 朝子,対面授業（主として対面授業）,κ11,水3,SFC
研究会Ｂ(2),湘南藤沢,バンミーター， ロドニー Ｄ．,対面授業（主として対面授業）,λ13,木3,SFC
研究会Ｂ(1),湘南藤沢,バンミーター， ロドニー Ｄ．,対面授業（主として対面授業）,λ13,木2,SFC;その他
ＮＰＯの設立と経営【学期前半】,湘南藤沢,宮垣 元,対面授業（主として対面授業）,ο17,"木1,2",SFC
対人コミュニケーション実践,湘南藤沢,林 公輔,対面授業（主として対面授業）,κ12,月5,SFC
政策デザインワークショップ,湘南藤沢,清水 唯一朗,対面授業（主として対面授業）,κ14,火2,SFC
契約ワークショップ,湘南藤沢,柴原 多,対面授業（主として対面授業）,ι12,木1,SFC
立法技術論,湘南藤沢,海野 敦史,オンライン授業（主としてリアルタイム形式）,,水2,その他
情報基礎１(27),湘南藤沢,斎藤 俊則,対面授業（主として対面授業）,κ18,"火4,5",SFC
キャリア開発論,湘南藤沢,田村 寿浩,対面授業（主として対面授業）,Ω22,火2,SFC
コンピュータミュージック２,湘南藤沢,小林 良穂,対面授業（主として対面授業）,λ21,金3,SFC
都市と地域の未来,湘南藤沢,馬場 わかな,対面授業（主として対面授業）,κ11,金1,SFC
スペイン語ベーシック１,湘南藤沢,"新谷 ロクサナ, 高木 和子",対面授業（主として対面授業）,"火3:λ18, 木3:λ14",火3/木3,SFC
インターネット(GIGA/GG/GI),湘南藤沢,"中村 修, 工藤 紀篤",対面授業（主として対面授業）,ε12,火2,SFC
仕事と社会【学期後半】,湘南藤沢,吉澤 康代,対面授業（主として対面授業）,τ11,"月3,4",SFC;その他
組織戦略（組織設計と変革）,湘南藤沢,清水 たくみ,オンライン授業（主としてリアルタイム形式）,,木2,その他
ネットワークコミュニケーション実践,湘南藤沢,木幡 敬史,オンライン授業（主としてリアルタイム形式）,,木4,その他
リーガルワークショップ,湘南藤沢,水野 祐,対面授業（主として対面授業）,ι22,月3,SFC
ヒューリスティックコンピューティング,湘南藤沢,関 喜史,対面授業（主として対面授業）,ο12,水3,SFC
公共政策(GIGA/GG/GI),湘南藤沢,吉井 弘和,対面授業（主として対面授業）,ε11,火2,SFC
プレゼンテーション技法,湘南藤沢,山田 ズーニー,対面授業（主として対面授業）,θ,火4,SFC
ヒューマンキャピタル論,湘南藤沢,鎌田 華乃子,対面授業（主として対面授業）,τ12,火2,SFC
リーガルライティング(GIGA/GG/GI),湘南藤沢,長谷川 福造,対面授業（主として対面授業）,ε13,金2,SFC;その他
システムプログラミング基礎(GIGA/GG/GI),湘南藤沢,三次 仁,対面授業（主として対面授業）,ε23,月1,SFC
朝鮮語ベーシック２,湘南藤沢,"中島 仁, 許 秦",対面授業（主として対面授業）,"月5:λ16, 水5:ε11",月5/水5,SFC
戦略的交渉論,湘南藤沢,印南 一路,対面授業（主として対面授業）,κ23,月2,SFC
組織コミュニケーション,湘南藤沢,小山 健太,対面授業（主として対面授業）,Ω11,木2,SFC
インタビュー法,湘南藤沢,鎌田 華乃子,対面授業（主として対面授業）,τ11,木2,SFC
デザインスタジオ（都市と建築）,湘南藤沢,"小林 博人, 石山 さつき, 長谷川 龍友",対面授業（主として対面授業）,βｽﾀｼﾞｵ,"月2,3",SFC;その他
情報デザイン基礎,湘南藤沢,丸山 新,対面授業（主として対面授業）,βﾄﾞｰﾑ,月2,SFC
情報デザイン基礎,湘南藤沢,丸山 新,対面授業（主として対面授業）,βﾄﾞｰﾑ,月3,SFC
数理モデル[DS2](GIGA/GG/GI),湘南藤沢,仲谷 正史,対面授業（主として対面授業）,τ12,火3,SFC
スクリプト言語プログラミング基礎,湘南藤沢,服部 隆志,対面授業（主として対面授業）,κ18,金2,SFC
デザインスタジオ基礎,湘南藤沢,"菊地 豊栄, 鳴川 肇, 山本 至",対面授業（主として対面授業）,βｽﾀｼﾞｵ,"火3,4",SFC;その他
確率[DS1](GIGA/GG/GI),湘南藤沢,堺 正太朗,対面授業（主として対面授業）,Ω22,月1,SFC
スペイン語ベーシック２,湘南藤沢,"手塚 進, プリエト， ベロニカ Ｍ．",対面授業（主として対面授業）,λ14,"水2,3",SFC
フィールドワーク法,湘南藤沢,加藤 文俊,対面授業（主として対面授業）,κ18,木2,SFC
デザインスタディーズ,湘南藤沢,中川 エリカ,対面授業（主として対面授業）,Ω21,木2,SFC;その他
Ｗｅｂデザインとマネジメント(GIGA/GG/GI),湘南藤沢,武田 圭史,対面授業（主として対面授業）,Ω21,木3,SFC
コンピュータミュージック１,湘南藤沢,魚住 勇太,対面授業（主として対面授業）,λ21,金2,SFC;その他
空間分析,湘南藤沢,"厳 網林, 広瀬 和世, 古谷 知之",対面授業（主として対面授業）,τ12,"木3,4",SFC
数理モデル[DS2],湘南藤沢,仲谷 正史,対面授業（主として対面授業）,ο11,月3,SFC
中国語ベーシック３,湘南藤沢,"郭 嘉イ, 郭 夢ギョウ",対面授業（主として対面授業）,"月3:ε15, 火4:ε16",月3/火4,SFC
電子工作【学期前半】,湘南藤沢,矢島 佳澄,対面授業（主として対面授業）,"ο23, ο24","木3,4",SFC
フランス語スキル(文法),湘南藤沢,國枝 孝弘,対面授業（主として対面授業）,ε16,金2,SFC
微分・積分[DS1],湘南藤沢,清水 達郎,対面授業（主として対面授業）,Ω12,月2,SFC
フランス語インテンシブ２FA,湘南藤沢,"シェッダーディ， アキル, デュレンベルジェ， ヴァンサン, 中村 ひろみ, 山根 祐佳",対面授業（主として対面授業）,"火2:ι21, 水2:ι16, 木2:κ22, 金2:ι22",火2/水2/木2/金2,SFC
アラビア語ベーシック１,湘南藤沢,"アルマンスール， アフマド, 兼定 愛",対面授業（主として対面授業）,"水3:ε12, 木3:ε17",水3/木3,SFC
ドイツ語ベーシック１GA,湘南藤沢,"中川 純子, クンスト， ダグマー",対面授業（主として対面授業）,"月4:κ13, 金3:κ14",月4/金3,SFC
ドイツ語ベーシック２GA,湘南藤沢,"中川 純子, 山田・クロッツ， マティアス　ダニエル",対面授業（主として対面授業）,"水3:κ16, 金4:κ14",水3/金4,SFC
フランス語インテンシブ１FA,湘南藤沢,"シェッダーディ， アキル, ガイヤル， ニコラ, 常盤 僚子, 中尾 和美",対面授業（主として対面授業）,"火1:ι13, 水1:ι22, 木2:ι17, 金2:λ13",火1/水1/木2/金2,SFC
プログラミング方法論【学期前半】,湘南藤沢,中澤 仁,対面授業（主として対面授業）,ε12,"月3,4",SFC
モノ創り実験工房,湘南藤沢,"大前 学, 神成 淳司, 高汐 一紀",対面授業（主として対面授業）,"ο23, ο24","月4,5",SFC
イタリア語ベーシック１B,湘南藤沢,"三森 のぞみ, チヴィティッロ， パトリツィア",対面授業（主として対面授業）,ι22,火4/木4,SFC
イタリア語ベーシック１A,湘南藤沢,"三森 のぞみ, チヴィティッロ， パトリツィア",対面授業（主として対面授業）,ι22,火3/木3,SFC
プロジェクト英語Ａ(Oral Listening),湘南藤沢,ホン， トゥアン,対面授業（主として対面授業）,ο15,水1,SFC
ドイツ語インテンシブ２GB,湘南藤沢,"藁谷 郁美, グラスミュック， マルクス, ブリュックナー， ステファン Ｗ．, 山田・クロッツ， マティアス　ダニエル",対面授業（主として対面授業）,"月1:κ14, 火2:κ16, 水2:κ16, 金1:κ15",月1/火2/水2/金1,SFC
フランス語ベーシック２B,湘南藤沢,"ガイヤル， ニコラ, 澁谷 与文",対面授業（主として対面授業）,"火3:ι13, 木4:λ17",火3/木4,SFC
マレー・インドネシア語ベーシック１,湘南藤沢,"サントーソ， ペトルス, 二重作 和代",対面授業（主として対面授業）,"水2:ο17, 木3:ε24",水2/木3,SFC
フランス語スキル(フランス語でプロジェクト),湘南藤沢,シェッダーディ， アキル,対面授業（主として対面授業）,ι17,木3,SFC
フランス語インテンシブ４FA,湘南藤沢,"シェッダーディ， アキル, ヴィアート， クロエ, コルベイユ， スティーブ, 野崎 夏生",対面授業（主として対面授業）,"火3:ο21, 水1:κ14, 木2:ε15, 金2:λ17",火3/水1/木2/金2,SFC
フランス語スキル(専門表現のフランス語),湘南藤沢,ドマジ， サシャ,対面授業（主として対面授業）,ε16,木2,SFC
フランス語ベーシック１FA,湘南藤沢,"野崎 夏生, アガエス， ジュリアン",対面授業（主として対面授業）,"水3:ε21, 金3:λ17",水3/金3,SFC
ビジネスのデータサイエンス[DS2]【学期後半】,湘南藤沢,桑原 武夫,対面授業（主として対面授業）,κ12,"火1,2",SFC;その他
情報基礎２,湘南藤沢,山本 穂奈美,対面授業（主として対面授業）,ε21,"火4,5",SFC
ベイズ統計[DS2],湘南藤沢,シュナイダー， ジヤン　ヨナス,対面授業（主として対面授業）,ι11,水3,SFC;その他
ロシア語ベーシック１,湘南藤沢,"田中 孝史, シラヴァ， スヴィトラーナ",対面授業（主として対面授業）,"月2:κ21, 金2:ι13",月2/金2,SFC
イタリア語ベーシック２,湘南藤沢,"三森 のぞみ, チヴィティッロ， パトリツィア",対面授業（主として対面授業）,ι22,火2/木2,SFC
中国語ベーシック１CB,湘南藤沢,"華 金玲, 郭 嘉イ",対面授業（主として対面授業）,"火3:ε16, 金3:ε18",火3/金3,SFC
中国語ベーシック１CA,湘南藤沢,"新田 順一, 楊 寧",対面授業（主として対面授業）,"火3:ε15, 水3:κ17",火3/水3,SFC
ドイツ語インテンシブ２GA,湘南藤沢,"クンスト， ダグマー, 小笠原 藤子, 佐藤 友紀子, ノイバー， ミヒャエル",対面授業（主として対面授業）,"月2:κ13, 火1:κ15, 水1:κ15, 金2:κ15",月2/火1/水1/金2,SFC
ドイツ語インテンシブ３GA,湘南藤沢,"マイヤー， アンドレアス, グラスミュック， マルクス, ノイバー， ミヒャエル, ホイサーマン， ペーター",対面授業（主として対面授業）,"月2:κ14, 火5:κ15, 金2:κ16, 金3:κ16","月2/火5/金2,3",SFC;その他
中国語インテンシブ１CA,湘南藤沢,"リュウ ロ, 王 暁音, 佐々木 聡, 楊 洲",対面授業（主として対面授業）,"月1:ε16, 火2:κ21, 水1:ο12, 金2:ι12",月1/火2/水1/金2,SFC
イタリア語ベーシック１C,湘南藤沢,"三森 のぞみ, チヴィティッロ， パトリツィア",対面授業（主として対面授業）,ι22,火5/木5,SFC
中国語インテンシブ２CB,湘南藤沢,"川田 健, 王 暁音, 金牧 功大, 韓 氷",対面授業（主として対面授業）,"月2:ι13, 火1:κ21, 水2:ι13, 金1:ι13",月2/火1/水2/金1,SFC
フランス語スキル(口語翻訳演習),湘南藤沢,中尾 和美,対面授業（主として対面授業）,λ13,金3,SFC
"フランス語スキル(Analyser, argumenter et structurer)",湘南藤沢,シルヴァ， ソニア Ｓ．,対面授業（主として対面授業）,κ13,金4,SFC
都市と地域の未来,湘南藤沢,横山 大輔,対面授業（主として対面授業）,ε21,木1,SFC
経営分析【学期前半】(GIGA/GG/GI),湘南藤沢,保田 隆明,対面授業（主として対面授業）,θ,"金3,4",SFC
実践リーダーシップ論【学期前半】,湘南藤沢,"藁谷 郁美, 清水 たくみ",対面授業（主として対面授業）,κ23,木4,SFC
社会の中の科学技術概論【学期前半】,湘南藤沢,大木 聖子,対面授業（主として対面授業）,ι23,"火1,2",SFC
研究会Ａ,湘南藤沢,保田 隆明,対面授業（主として対面授業）,ε23,"月4,5",SFC
研究会Ａ,湘南藤沢,林 公輔,対面授業（主として対面授業）,λ13,"火1,2",SFC
文化進化論(GIGA/GI),湘南藤沢,サベジ， パトリック Ｅ．,オンライン授業（主としてリアルタイム形式）,,火1,SFC
データサイエンス特別講義Ａ[DS2],湘南藤沢,"川島 英之, 鯉渕 道紘, 吉田 直紀",対面授業（主として対面授業）,ι23,木3,SFC
宇宙安全保障(GIGA),湘南藤沢,福島 康仁,対面授業（主として対面授業）,λ18,火4,SFC
研究会Ａ,湘南藤沢,齊藤 邦史,オンライン授業（主としてリアルタイム形式）,,"火3,4",SFC;その他
研究会Ｂ(1),湘南藤沢,山田 彬尭,対面授業（主として対面授業）,λ17,月5,SFC
研究会Ｂ(2),湘南藤沢,山田 彬尭,対面授業（主として対面授業）,λ17,金5,SFC
研究会Ｂ(1),湘南藤沢,川口 航史,対面授業（主として対面授業）,λ14,月5,SFC
研究会Ｂ(2),湘南藤沢,川口 航史,対面授業（主として対面授業）,ε23,木3,SFC
研究会Ｂ(1),湘南藤沢,福島 康仁,対面授業（主として対面授業）,κ17,月4,SFC
研究会Ｂ(2),湘南藤沢,福島 康仁,対面授業（主として対面授業）,κ17,月5,SFC
文化と精神療法(GIGA/GI),湘南藤沢,林 公輔,対面授業（主として対面授業）,κ12,月4,SFC
研究会Ｂ(1),湘南藤沢,高橋 裕子,対面授業（主として対面授業）,κ13,火3,SFC
研究会Ｂ(2),湘南藤沢,高橋 裕子,対面授業（主として対面授業）,ε23,木4,SFC
共生社会のデザイン,湘南藤沢,内山 映子,対面授業（主として対面授業）,ι23,木4,SFC
研究会Ｂ(1),湘南藤沢,北川 敬三,対面授業（主として対面授業）,κ14,月4,SFC
研究会Ｂ(2),湘南藤沢,北川 敬三,対面授業（主として対面授業）,κ14,月5,SFC
研究会Ｂ(1),湘南藤沢,清水 達郎,対面授業（主として対面授業）,ι22,月4,SFC
研究会Ｂ(2),湘南藤沢,清水 達郎,対面授業（主として対面授業）,ι22,月5,SFC
研究会Ａ,湘南藤沢,堺 正太朗,対面授業（主として対面授業）,ο15,"月3,4",SFC
研究会Ａ,湘南藤沢,海野 敦史,対面授業（主として対面授業）,κ13,"火4,5",SFC
研究会Ｂ(1),湘南藤沢,鎌田 華乃子,対面授業（主として対面授業）,κ16,火4,SFC
研究会Ｂ(2),湘南藤沢,鎌田 華乃子,対面授業（主として対面授業）,κ16,木4,SFC
メディア論（ドイツ語圏）,湘南藤沢,藁谷 郁美,対面授業（主として対面授業）,κ16,火3,SFC;その他
ドイツ語コンテンツ,湘南藤沢,藁谷 郁美,対面授業（主として対面授業）,κ16,火3,SFC;その他
ＤＸ時代の自動車流通論(寄附講座),湘南藤沢,"古谷 知之, 中島 有希大",対面授業（主として対面授業）,Ω12,火4,SFC
マクロ経済２(GIGA/GG),湘南藤沢,和田 龍磨,対面授業（主として対面授業）,ε13,火1,SFC;その他
理論言語学入門（統語論）：ことばの構造を可視化する(GIGA/GI),湘南藤沢,山田 彬尭,対面授業（主として対面授業）,κ11,金3,SFC
