科目名,キャンパス,担当者名,授業実施形態,教室,曜日時限,開講場所
マッピングイメージデザイン【学期前半】,湘南藤沢,石川 初,対面授業（主として対面授業）,ι11,"火1,2",SFC;その他
イメージと精神分析,湘南藤沢,森 さち子,対面授業（主として対面授業）,ο11,火4,SFC;その他
生命動態のデータサイエンス[DS2](GIGA/GG/GI),湘南藤沢,鈴木 治夫,対面授業（主として対面授業）,ο17,火2,SFC
スポーツエンジニアリング,湘南藤沢,仰木 裕嗣,対面授業（主として対面授業）,ι23,金1,SFC;その他
ゲノム分子生物学２(TTCK),湘南藤沢,"金井 昭夫, 河野 暢明, 齊藤 康弘",対面授業（主として対面授業）,,木2,TTCK
科学技術政策(GIGA/GG),湘南藤沢,藤田 元信,対面授業（主として対面授業）,ι12,木3,SFC
オープンデザイン戦略【学期後半】(GIGA/GI),湘南藤沢,田中 浩也,オンライン授業（主としてリアルタイム形式）,,"月3,4",その他
オープンデザイン実践【学期前半】,湘南藤沢,"高汐 一紀, 浅井 智也, 瀧田 佐登子",対面授業（主として対面授業）,ι18,"木2,3",SFC;その他
アントレプレナー概論１(寄附講座),湘南藤沢,"飯盛 崇, 飯盛 義徳",対面授業（主として対面授業）,Ω22,木2,SFC
スポーツバイオメカニクス,湘南藤沢,仰木 裕嗣,対面授業（主として対面授業）,ο11,木1,SFC
知覚運動スキル論,湘南藤沢,加藤 貴昭,対面授業（主として対面授業）,Ω11,金2,SFC;その他
ランドスケープエコロジー,湘南藤沢,一ノ瀬 友博,対面授業（主として対面授業）,ο21,火1,SFC
日独社会研究（ドイツ語圏）,湘南藤沢,グラスミュック， マルクス,オンライン授業（主としてリアルタイム形式）,,月5,その他
ユビキタスサービス論,湘南藤沢,三宅 陽一郎,対面授業（主として対面授業）,ο22,月6,SFC
環境センシング論,湘南藤沢,堺 正太朗,対面授業（主として対面授業）,Ω21,月5,SFC;その他
環境リスク科学(GIGA/GI),湘南藤沢,ショウ， ラジブ,対面授業（主として対面授業）,ε16,月3,SFC
エコシステム評価論,湘南藤沢,厳 網林,対面授業（主として対面授業）,ι12,月3,SFC
プログラミング言語論(GIGA/GI),湘南藤沢,服部 隆志,対面授業（主として対面授業）,τ12,月2,SFC
応用認知科学【学期後半】,湘南藤沢,小俣 貴宣,対面授業（主として対面授業）,κ22,"金4,5",SFC;その他
地域協働とフィールドワーク(寄附講座),湘南藤沢,"市川 享子, 宮垣 元",対面授業（主として対面授業）,ε17,火3,SFC
アジアワークショップ(GIGA/GG),湘南藤沢,"ヴ， レ　タオ　チ, ナヴァロ フンジンスキ",対面授業（主として対面授業）,λ13,火3,SFC;その他
知識処理論,湘南藤沢,青山 敦,オンライン授業（主としてリアルタイム形式）,,木2,その他
生命現象と現実社会の比較論,湘南藤沢,黒田 裕樹,対面授業（主として対面授業）,Ω11,金3,SFC
日本史概説,湘南藤沢,日朝 秀宜,対面授業（主として対面授業）,κ12,水1,SFC
世界史概説,湘南藤沢,遠藤 吉宗,対面授業（主として対面授業）,λ23,月5,SFC
地域計画実践論(GIGA/GG),湘南藤沢,ショウ， ラジブ,対面授業（主として対面授業）,κ13,火1,SFC
情報セキュリティマネジメント,湘南藤沢,筒井 淳平,対面授業（主として対面授業）,ι18,木6,SFC
